structure,rmse,E_years,C,A_thr_10,A_thr_20
sigmoid,0.0542,0,Low,0.8741251251251252,0.7362632632632633
sigmoid,0.0542,0,Moderate,0.8891101101101102,0.7692302302302303
sigmoid,0.0542,0,High,0.9000990990990991,0.7942052052052052
sigmoid,0.0542,2,Low,0.8671321321321321,0.7192802802802803
sigmoid,0.0542,2,Moderate,0.8831161161161162,0.7572422422422422
sigmoid,0.0542,2,High,0.8961031031031031,0.7852142142142142
sigmoid,0.0542,10,Low,0.8281711711711712,0.6213783783783784
sigmoid,0.0542,10,Moderate,0.8551441441441442,0.6903093093093093
sigmoid,0.0542,10,High,0.8741251251251252,0.7362632632632633
saturating,0.0542,0,Low,0.8741251251251252,0.7362632632632633
saturating,0.0542,0,Moderate,0.8891101101101102,0.7692302302302303
saturating,0.0542,0,High,0.9000990990990991,0.7952042042042042
saturating,0.0542,2,Low,0.8671321321321321,0.7202792792792793
saturating,0.0542,2,Moderate,0.8831161161161162,0.7572422422422422
saturating,0.0542,2,High,0.8961031031031031,0.7852142142142142
saturating,0.0542,10,Low,0.8281711711711712,0.6223773773773774
saturating,0.0542,10,Moderate,0.8551441441441442,0.6913083083083084
saturating,0.0542,10,High,0.8741251251251252,0.7362632632632633
